tempo,tempo_espera_prioritarios
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.125
14,0.375
15,0.25
16,0.375
17,0.5
18,0.0
19,0.0
20,0.0
21,0.0
22,0.125
23,0.375
24,0.625
25,0.875
26,1.125
27,1.5714285714285714
28,1.8571428571428572
29,2.5
30,2.8333333333333335
31,3.1666666666666665
32,4.4
33,5.0
34,5.6
35,7.75
36,8.5
37,12.333333333333334
38,13.333333333333334
39,14.333333333333334
40,15.333333333333334
41,16.333333333333332
42,17.333333333333332
43,18.333333333333332
44,19.333333333333332
45,20.333333333333332
46,21.333333333333332
47,22.333333333333332
48,5.666666666666667
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.5
69,1.0
70,2.0
71,3.0
72,4.0
73,5.0
74,6.0
75,7.0
76,8.0
77,9.0
78,10.0
79,11.0
80,12.0
81,13.0
82,14.0
83,15.0
84,16.0
85,17.0
86,18.0
87,19.0
88,20.0
89,21.0
90,22.0
91,23.0
92,24.0
93,25.0
94,26.0
95,13.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
