tempo,carros_parados
0,0
1,24
2,0
3,0
4,12
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,8
14,12
15,12
16,12
17,20
18,12
19,0
20,0
21,4
22,16
23,20
24,20
25,20
26,20
27,20
28,20
29,20
30,20
31,24
32,28
33,32
34,32
35,36
36,36
37,36
38,40
39,40
40,40
41,40
42,40
43,40
44,40
45,40
46,40
47,40
48,20
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,0
66,0
67,0
68,4
69,8
70,12
71,12
72,16
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,20
81,20
82,20
83,20
84,20
85,20
86,20
87,20
88,20
89,20
90,20
91,20
92,20
93,20
94,20
95,12
96,4
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
