vehicle,total_time,wait_time,wait_ratio
t_0,82,5,0.06097560975609756
t_1,82,5,0.06097560975609756
t_10,82,2,0.024390243902439025
t_11,82,1,0.012195121951219513
t_12,82,2,0.024390243902439025
t_13,82,1,0.012195121951219513
t_14,82,1,0.012195121951219513
t_16,82,6,0.07317073170731707
t_17,82,1,0.012195121951219513
t_18,82,2,0.024390243902439025
t_2,82,5,0.06097560975609756
t_20,82,5,0.06097560975609756
t_21,82,1,0.012195121951219513
t_23,82,20,0.24390243902439024
t_25,82,10,0.12195121951219512
t_26,82,4,0.04878048780487805
t_27,82,1,0.012195121951219513
t_28,82,1,0.012195121951219513
t_30,82,3,0.036585365853658534
t_5,82,5,0.06097560975609756
t_6,82,6,0.07317073170731707
t_7,82,1,0.012195121951219513
t_8,82,1,0.012195121951219513
t_9,82,1,0.012195121951219513
t_15,79,2,0.02531645569620253
t_19,79,1,0.012658227848101266
t_24,79,10,0.12658227848101267
t_3,79,6,0.0759493670886076
t_4,79,5,0.06329113924050633
