tempo,velocidade_media
0,0.0
1,0.0
2,2.0006390948129895
3,4.046498756109698
4,6.013580208808222
5,6.948839518149255
6,8.954183378787551
7,10.860901904665422
8,11.998048408175173
9,12.108240381465738
10,10.63263562141775
11,9.195969593091775
12,8.844761645406848
13,8.705499878390508
14,8.692632100493375
15,8.850296841273483
16,9.300673110708162
17,9.132163393265907
18,7.921805602547564
19,7.001618888161395
20,6.436009086628723
21,6.827935672478705
22,7.149460427235603
23,7.840733383048144
24,8.81842840786795
25,9.996084677798851
26,11.537972808433627
27,11.59456523938902
28,11.67444076886855
29,11.52007199247786
30,11.10141487698571
31,10.046953324285886
32,9.52657339460384
33,8.145706447817842
34,8.349512837760855
35,8.343987007781054
36,8.351814542281783
37,6.856542573862057
38,6.991803349725771
39,9.534155716050172
40,9.249796952529575
41,7.169237736411691
42,14.643527896810086
43,14.79770388560439
44,15.433536420404673
45,15.318454644983397
46,10.818454644983397
47,6.392114505174144
48,2.934381279016659
49,3.2614912851752704
50,5.175253777813025
51,7.028709772123347
52,9.074812667890308
53,10.93232164690596
54,12.378164954495384
55,13.151429345661722
56,13.207943394458193
57,13.500016468150346
58,13.240993045804185
59,13.062514661885066
60,13.265287196634413
61,13.010521853690873
62,13.15215242698808
63,13.151876769159971
64,12.137562393845396
65,10.368248214060277
66,9.241300192292892
67,6.539048680849104
68,4.918070439215989
69,4.1278145500169225
70,1.9152438019505444
71,2.2016983463300988
72,2.10264354816715
73,1.9720238781460198
74,2.5337651894051687
75,3.1789518466761675
76,0.0006378248405045822
77,0.0004345313074245429
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,1.768879870895762
96,2.438794793220363
97,3.736809723730276
98,5.742567975417943
99,7.84800428770095
100,9.658902592645415
101,11.2582130738574
102,12.448685070327453
103,12.854888208587482
104,12.424887351728442
105,10.748208918258007
106,10.107584623042559
107,8.929528632570396
108,9.240726074717278
109,7.163747533552441
110,7.477652133700531
111,8.778720871989709
112,10.666423344311397
113,11.56118558464236
114,12.184643884719248
115,11.523343376387498
116,11.700389749106623
117,12.08658629068327
118,11.589393204698943
